actual,proposed
0.034712374210357666,0.0
0.042439479380846024,0.0
0.04572610557079315,0.0
0.040277235209941864,0.0
0.030574148520827293,0.0
0.029749134555459023,0.0
0.04203343018889427,0.10009841620922089
0.04980923980474472,0.10049709677696228
0.053143613040447235,0.1009456142783165
0.05210097134113312,0.10141496360301971
0.05546088144183159,0.10186457633972168
0.05880187451839447,0.10233153402805328
0.06212584301829338,0.10281533002853394
0.0523567870259285,0.10331472754478455
0.05147133022546768,0.10373183339834213
0.05498243495821953,0.10413510352373123
0.04975228011608124,0.10455820709466934
0.044619932770729065,0.10493326932191849
0.04394059255719185,0.10526485741138458
0.03893176466226578,0.10558447986841202
0.03401174023747444,0.1058618575334549
0.024817639961838722,0.10609778016805649
0.015765562653541565,0.10626095533370972
0.011207487434148788,0.10635430365800858
0.006718310993164778,0.10641247779130936
0.0,0.10643620043992996
0.0,0.10639479756355286
0.0,0.10628943145275116
0.0,0.10615526139736176
0.0,0.10596098750829697
0.0,0.10567568987607956
0.0,0.10533449798822403
0.0,0.10497209429740906
0.0,0.10458823293447495
0.0,0.10418375581502914
0.0,0.10375940799713135
0.0,0.10328317433595657
0.0,0.10272463411092758
0.0,0.10208658128976822
0.0,0.10137120634317398
0.0,0.10058169811964035
